no,nama,kategori,alamat,kota,lat,lng,plusCode,rating,jumlahUlasan,telepon,website,foto,jamBuka,linkMaps,sumberQuery
11,NUIZ Coffee - Andi Djemma Makassar,Restoran,"Jl. Andi Djemma No.50, Banta-Bantaeng, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222, Indonesia",Makassar,-5.1637542,119.423365,"RCPF+F8 Banta-Bantaeng, Kota Makassar, Sulawesi Selatan, Indonesia",4.6,1132,+6285191554760,https://www.instagram.com/nuizcoffeemakassar?igsh=MTY4NHhrZGpxYTFlcg==,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnkNCVo_YzNH0LAtKoXVZId01aTiHLSotukfLBXHcovz43mR7Hzc9tuB3kHY76-ohSHVVfTdg0bvsm4GXlwI4UbxS_RAK01TaiPBNIHaBmPD3n_l3Xnw_2MBHkaQM8G5JqcOEKzoM_KOiyy=w408-h544-k-no,"Senin,Buka 24 jam | Selasa,Buka 24 jam | Rabu,Buka 24 jam | Kamis,Buka 24 jam | Jumat,Buka 24 jam | Sabtu,Buka 24 jam | Minggu,Buka 24 jam",https://www.google.com/maps/place/NUIZ+Coffee+-+Andi+Djemma+Makassar/data=!4m7!3m6!1s0x2dbee30028826d45:0xa95adb2ea2418d6!8m2!3d-5.1637542!4d119.423365!16s%2Fg%2F11x7g2knvr!19sChIJRW2CKADjvi0R1hgk6rKtlQo,cafe Makassar | coffee shop Makassar
12,Goodfields,Kafe,"Jl. Botolempangan No.26, Sawerigading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90113, Indonesia",Makassar,-5.1395574,119.4107145,"VC66+57 Sawerigading, Kota Makassar, Sulawesi Selatan, Indonesia",4.7,1374,+624118003675,https://instagram.com/goodfields.id,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkda4tFFYr_JhiFyPUOKHnGRAUFGZaVYBrz_Alvb5KUfzZb0fPjIzMHowJU_gHlpDWExEluQKqr5pH9za4LjAxlvfBQicTtDmISGhCA85x9_PAAhSrcM7RaaxEyvog924GeM1MWGoO4WY-h=w426-h240-k-no,"Senin,10.00 hingga 22.00 | Selasa,10.00 hingga 22.00 | Rabu,10.00 hingga 22.00 | Kamis,10.00 hingga 22.00 | Jumat,10.00 hingga 22.00 | Sabtu,10.00 hingga 23.00 | Minggu,10.00 hingga 22.00",https://www.google.com/maps/place/Goodfields/data=!4m7!3m6!1s0x2dbefdb51d196ea9:0xbd454207d75d83cd!8m2!3d-5.1395574!4d119.4107145!16s%2Fg%2F11spwzvd52!19sChIJqW4ZHbX9vi0RzYNd1wdCRb0,cafe Makassar | coffee shop Makassar
13,Diandra Coffee Makassar,Kedai Kopi,"RFR2+JJX, Jl. Pandang Raya, Pandang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",Makassar,-5.1583712,119.451592,,4.7,46,+628114402112,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnR2aBnrX1lILouMhzWrFwg7M-uDTvQN2Sk6aL8cV-d1jyDzEh64JWlWhHqtFESq0oceolmKIHW5d0u2pgDacwXSydLgEfTrixDKhdoDh2LgQ5ZE9NFQMiLVw8GVGqybcjNJzQuf0D83h31=w408-h244-k-no,"Senin,09.00 hingga 23.00 | Selasa,09.00 hingga 23.00 | Rabu,09.00 hingga 23.00 | Kamis,09.00 hingga 23.00 | Jumat,09.00 hingga 23.00 | Sabtu,09.00 hingga 00.00 | Minggu,09.00 hingga 23.00",https://www.google.com/maps/place/Diandra+Coffee+Makassar/data=!4m7!3m6!1s0x2dbee3007d480f17:0x62edb1bfa98e616!8m2!3d-5.1583712!4d119.451592!16s%2Fg%2F11vm9_1ywr!19sChIJFw9IfQDjvi0RFuaY-hvbLgY,cafe Makassar | kedai kopi Makassar | coffee shop Makassar
14,Kaktus coffee eatery life,Kedai Kopi,"Komp pergudangan, Jl. Ir. Sutami No.11 blok E3, Parang Loe, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90241, Indonesia",Makassar,-5.0953414,119.480299,"WF3J+V4 Parang Loe, Kota Makassar, Sulawesi Selatan, Indonesia",4.5,345,+6282195313688,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl63mdQ06qxAP5Qv1AwQv7Lv52eYjYGOlDtbz2_IKFR1y_EATxJ6Gd1dLIcHHjeaDplIsJxjhwUaFTZaO2AgyCWLM6Zo_S95gsfeAbEKt5FrWstBdHw4LuyUkUkoHwPvOo9I7t9=w408-h544-k-no,"Senin,07.00 hingga 22.00 | Selasa,07.00 hingga 22.00 | Rabu,07.00 hingga 22.00 | Kamis,07.00 hingga 22.00 | Jumat,07.00 hingga 00.00 | Sabtu,07.00 hingga 00.00 | Minggu,07.00 hingga 23.00",https://www.google.com/maps/place/Kaktus+coffee+eatery+life/data=!4m7!3m6!1s0x2dbefb094be187a7:0x451d3518d7279493!8m2!3d-5.0953414!4d119.480299!16s%2Fg%2F11tns3lx7r!19sChIJp4fhSwn7vi0Rk5Qn1xg1HUU,cafe Makassar | coffee shop Makassar
15,Mark Trees Cafe,Kafe,"Jl. Gn. Batu Putih No.2, Mangkura, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90114, Indonesia",Makassar,-5.1469113,119.4159946,"VC38+69 Mangkura, Kota Makassar, Sulawesi Selatan, Indonesia",4.7,1256,,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm1v_MADJOPumumG7RRz9SFmmaCVx6dUvsTT-qbJYcsrJYpkXI0CMWWjr0OZeRDsU3p9dUWsquoAJOdcdfUQ5kWdSTTDAPZ-e1LSZ-zfSUMxsyCUsKW67qc3UbdWHGBA8BJ--yV=w408-h272-k-no,"Senin,08.00 hingga 22.00 | Selasa,08.00 hingga 22.00 | Rabu,08.00 hingga 22.00 | Kamis,08.00 hingga 22.00 | Jumat,08.00 hingga 22.00 | Sabtu,08.00 hingga 22.00 | Minggu,08.00 hingga 22.00",https://www.google.com/maps/place/Mark+Trees+Cafe/data=!4m7!3m6!1s0x2dbf1d5675e083cb:0x552643a9594070f4!8m2!3d-5.1469113!4d119.4159946!16s%2Fg%2F11bwmfgjl1!19sChIJy4PgdVYdvy0R9HBAWalDJlU,cafe Makassar | coffee shop Makassar
16,Chalathea Coffee and Eatery Makassar,Kedai Kopi,"Jl. Toa Daeng III No.64 A, Batua, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90234, Indonesia",Makassar,-5.1530114,119.4650171,"RFW8+Q2 Batua, Kota Makassar, Sulawesi Selatan, Indonesia",4.8,24,+6285117579380,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlNlNWJrJJ3sU5tVsxfuY1J5ZGg9w7TaN9kqofe_KwuA9jzIidVEkOsoKjzAh6GB6oO2tTjWi41K0nz9zD_VfT3rLLfZIRhV0Y2k1o2gJsRxNF6FOBVnZWIHnftFl7WWqZg8XPdzE-BsDdl=w408-h544-k-no,"Senin,10.00 hingga 23.00 | Selasa,10.00 hingga 23.00 | Rabu,10.00 hingga 23.00 | Kamis,10.00 hingga 23.00 | Jumat,10.00 hingga 23.00 | Sabtu,10.00 hingga 00.00 | Minggu,10.00 hingga 23.00",https://www.google.com/maps/place/Chalathea+Coffee+and+Eatery+Makassar/data=!4m7!3m6!1s0x2dbee31ed8ed2d8d:0x346a6174cad1cec1!8m2!3d-5.1530114!4d119.4650171!16s%2Fg%2F11xm5nwfws!19sChIJjS3t2B7jvi0Rwc7RynRhajQ,cafe Makassar | coffee shop Makassar
17,KOZI Coffee Makassar,Kedai Kopi,"Jl. A. Mappanyukki No.99, Mario, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125, Indonesia",Makassar,-5.1557488,119.4150235,"RCV8+P2 Mario, Kota Makassar, Sulawesi Selatan, Indonesia",4.5,416,+6288705956272,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkiJfXwmLhalZiTsY9ZugxgEs0n6rCsTSaWhXxjHPwM8YV36fsv_jKkvYg0ll39vE54zXc6S3ogm2ONatTzbSnsKmtPKFZ8QWavqhDRJ0NmHv_L7cvTFZcyAekIkF2ZfsKUBoF2=w408-h544-k-no,"Senin,09.00 hingga 23.00 | Selasa,09.00 hingga 23.00 | Rabu,09.00 hingga 23.00 | Kamis,09.00 hingga 23.00 | Jumat,09.00 hingga 23.00 | Sabtu,09.00 hingga 23.00 | Minggu,09.00 hingga 23.00",https://www.google.com/maps/place/KOZI+Coffee+Makassar/data=!4m7!3m6!1s0x2dbf1ded7f604ac3:0xc5e0410c98f3440b!8m2!3d-5.1557488!4d119.4150235!16s%2Fg%2F11fs31vzfp!19sChIJw0pgf-0dvy0RC0TzmAxB4MU,cafe Makassar | kedai kopi Makassar | coffee shop Makassar
18,Camell Cafe,Restoran,"Jl. Onta Lama No.70, Bonto Biraeng, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90132, Indonesia",Makassar,-5.1573291,119.4201465,"RCVC+33 Bonto Biraeng, Kota Makassar, Sulawesi Selatan, Indonesia",4.6,1077,,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl7bP0KhL3xWZUFSUvmTYn2u0BuIUUryK5TpYesJUOjLC3iLH7FdJFFrUpmOCSOQmp89Dx9tit8GYdPze7O9ej33ucD6SAO-Crep9OIMXgg-X6fowkxiqvHpkvtMvkZzOT3JNvMe01po_XP=w408-h306-k-no,,https://www.google.com/maps/place/Camell+Cafe/data=!4m7!3m6!1s0x2dbee30004855497:0xc664e0a41265a588!8m2!3d-5.1573291!4d119.4201465!16s%2Fg%2F11ydk7plxg!19sChIJl1SFBADjvi0RiKVlEqTgZMY,cafe Makassar | kedai kopi Makassar
19,Anomali Coffee Makassar,Kedai Kopi,"Jl. DR. Ratulangi No.102, Mario, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90114, Indonesia",Makassar,-5.1581398,119.4164025,"RCR8+PH Mario, Kota Makassar, Sulawesi Selatan, Indonesia",4.5,1663,+628114303462,http://store.anomalicoffee.com/,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWldYXRFFJh0be0nGmF7_CTgDO5gjauY7IIwN3j_iPDh36NOCjXbR1Hldr1cQlvUZyGpRY-dK_Lmv6-ybMB6sQ1T5FEUdFZBWkxdP2QIN1ax_YTtHJ-nIKxXyBY7qkymngEECVtrqu97l-k=w408-h544-k-no,"Senin,07.00 hingga 23.00 | Selasa,07.00 hingga 23.00 | Rabu,07.00 hingga 23.00 | Kamis,07.00 hingga 23.00 | Jumat,07.00 hingga 00.00 | Sabtu,07.00 hingga 00.00 | Minggu,07.00 hingga 23.00",https://www.google.com/maps/place/Anomali+Coffee+Makassar/data=!4m7!3m6!1s0x2dbf1d5f72eba96d:0x464dc7cee5557f59!8m2!3d-5.1581398!4d119.4164025!16s%2Fg%2F11gbxcsnmt!19sChIJbanrcl8dvy0RWX9V5c7HTUY,cafe Makassar | kedai kopi Makassar | coffee shop Makassar
20,Grind & Pull Makassar,Restoran Sulawesi Selatan,"Jl. A. Mappanyukki No.40-42, Kunjung Mae, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90113, Indonesia",Makassar,-5.1514008,119.4144553,"RCX7+CQ Kunjung Mae, Kota Makassar, Sulawesi Selatan, Indonesia",4.6,2412,+62411877322,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm__GAvrj-QrGnZQ6-Z9LPIYdx43cj8onhRK3hYtdA3yRjVZnJXlb4RO-tRrSEej9m2f8HOJ-sdELm9OCS3-20fpacow6G9Co6xeXx-wAokOmPBYoqtuOKDL8oHYBcrep6xp4gA2J5CoyHb=w408-h408-k-no,"Senin,10.00 hingga 23.00 | Selasa,10.00 hingga 23.00 | Rabu,10.00 hingga 23.00 | Kamis,10.00 hingga 23.00 | Jumat,10.00 hingga 23.00 | Sabtu,10.00 hingga 00.00 | Minggu,10.00 hingga 23.00",https://www.google.com/maps/place/Grind+%26+Pull+Makassar/data=!4m7!3m6!1s0x2dbf1d59d42a534d:0x3017c69e0bf4fb7c!8m2!3d-5.1514008!4d119.4144553!16s%2Fg%2F11c6dyy22m!19sChIJTVMq1Fkdvy0RfPv0C57GFzA,cafe Makassar | kedai kopi Makassar
21,Konya Coffee & Eatery (Ex-Bonefa),Kafe,"Jl. Prof. Abdurahman Basalamah ex, Jl. Racing Centre, Karampuang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",Makassar,-5.1462954,119.4503679,"VF32+F4 Karampuang, Kota Makassar, Sulawesi Selatan, Indonesia",4.6,69,+6285244427494,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWm0WJwj_gVbXCYYRQYvGM51FjHihFNDbJYKE0RVeVGR8V9ONWBztNID2nxviOHnA2UBRJlfHm5bzfNl7bttjmeYb9VUWjyDR7f3rZ9h2YJv7L100i0yYFyhESXZuwiiNEf76wl3QQ=w427-h240-k-no,"Senin,Buka 24 jam | Selasa,Buka 24 jam | Rabu,Buka 24 jam | Kamis,Buka 24 jam | Jumat,Buka 24 jam | Sabtu,Buka 24 jam | Minggu,Buka 24 jam",https://www.google.com/maps/place/Konya+Coffee+%26+Eatery+%28Ex-Bonefa%29/data=!4m7!3m6!1s0x2dbee393a21bb68d:0x818033830a6e7929!8m2!3d-5.1462954!4d119.4503679!16s%2Fg%2F11rgc6brlv!19sChIJjbYbopPjvi0RKXluCoMzgIE,cafe Makassar | coffee shop Makassar
22,Noice Coffee Roaster,Kedai Kopi,"Jalan Pasar Ikan No.18, Bulo Gading, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan 90174, Indonesia",Makassar,-5.137253,119.4052609,"VC74+34 Bulo Gading, Kota Makassar, Sulawesi Selatan, Indonesia",4.6,283,+6281243266763,,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmwtR4znI4EtI5RyomzE-WZV1neifeZGmd3DsHf37PmotIkJALV-OcAlkwhiZK5uVFvo4MZp9yF_1XDHUZolE5_Qb5m39IKnqOVFNqFdHxUOW7_2vc1IBbbqwDmiri8STQ8Z3Qv=w408-h509-k-no,"Senin,07.30 hingga 20.00 | Selasa,07.30 hingga 20.00 | Rabu,07.30 hingga 20.00 | Kamis,07.30 hingga 20.00 | Jumat,07.30 hingga 20.00 | Sabtu,07.00 hingga 21.00 | Minggu,07.00 hingga 21.00",https://www.google.com/maps/place/Noice+Coffee+Roaster/data=!4m7!3m6!1s0x2dbf03a0cf69422b:0x32f7617438b9fa29!8m2!3d-5.137253!4d119.4052609!16s%2Fg%2F11qr3kz5xp!19sChIJK0Jpz6ADvy0RKfq5OHRh9zI,cafe Makassar | coffee shop Makassar
